TIME,RAINFALL
1/01/2020,0
2/01/2020,0
3/01/2020,0
4/01/2020,0
5/01/2020,0
6/01/2020,2
7/01/2020,0
8/01/2020,0
9/01/2020,0
10/01/2020,0
11/01/2020,0
12/01/2020,37
13/01/2020,0
14/01/2020,0
15/01/2020,11
16/01/2020,34
17/01/2020,9
18/01/2020,53
19/01/2020,1
20/01/2020,23
21/01/2020,5
22/01/2020,1
23/01/2020,0
24/01/2020,18
25/01/2020,0
26/01/2020,2
27/01/2020,2
28/01/2020,3
29/01/2020,0
30/01/2020,0
31/01/2020,0
1/02/2020,0
2/02/2020,0
3/02/2020,0
4/02/2020,2
5/02/2020,10
6/02/2020,29
7/02/2020,43
8/02/2020,19
9/02/2020,19
10/02/2020,7
11/02/2020,52
12/02/2020,6
13/02/2020,83
14/02/2020,5
15/02/2020,0
16/02/2020,0
17/02/2020,0
18/02/2020,0
19/02/2020,0
20/02/2020,18
21/02/2020,0
22/02/2020,0
23/02/2020,2
24/02/2020,0
25/02/2020,36
26/02/2020,21
27/02/2020,0
28/02/2020,29
29/02/2020,0
30/02/2020,0
31/02/2020,0
1/03/2020,0
2/03/2020,0
3/03/2020,0
4/03/2020,0
5/03/2020,0
6/03/2020,0
7/03/2020,9
8/03/2020,0
9/03/2020,19
10/03/2020,62
11/03/2020,5
12/03/2020,0
13/03/2020,28
14/03/2020,4
15/03/2020,0
16/03/2020,0
17/03/2020,0
18/03/2020,0
19/03/2020,0
20/03/2020,0
21/03/2020,0
22/03/2020,0
23/03/2020,0
24/03/2020,3
25/03/2020,4
26/03/2020,0
27/03/2020,0
28/03/2020,0
29/03/2020,6
30/03/2020,1
31/03/2020,0
1/04/2020,0
2/04/2020,0
3/04/2020,0
4/04/2020,0
5/04/2020,0
6/04/2020,0
7/04/2020,0
8/04/2020,1
9/04/2020,3
10/04/2020,10
11/04/2020,1
12/04/2020,0
13/04/2020,0
14/04/2020,0
15/04/2020,0
16/04/2020,0
17/04/2020,0
18/04/2020,0
19/04/2020,0
20/04/2020,1
21/04/2020,0
22/04/2020,0
23/04/2020,0
24/04/2020,0
25/04/2020,0
26/04/2020,0
27/04/2020,0
28/04/2020,0
29/04/2020,2
30/04/2020,0
31/04/2020,0
1/05/2020,0
2/05/2020,0
3/05/2020,0
4/05/2020,0
5/05/2020,0
6/05/2020,0
7/05/2020,0
8/05/2020,0
9/05/2020,0
10/05/2020,0
11/05/2020,0
12/05/2020,0
13/05/2020,0
14/05/2020,0
15/05/2020,0
16/05/2020,0
17/05/2020,0
18/05/2020,1
19/05/2020,0
20/05/2020,0
21/05/2020,12
22/05/2020,6
23/05/2020,0
24/05/2020,0
25/05/2020,0
26/05/2020,0
27/05/2020,0
28/05/2020,0
29/05/2020,0
30/05/2020,0
31/05/2020,0
1/06/2020,0
2/06/2020,0
3/06/2020,0
4/06/2020,0
5/06/2020,0
6/06/2020,0
7/06/2020,0
8/06/2020,0
9/06/2020,0
10/06/2020,6
11/06/2020,0
12/06/2020,0
13/06/2020,0
14/06/2020,1
15/06/2020,21
16/06/2020,0
17/06/2020,0
18/06/2020,3
19/06/2020,2
20/06/2020,0
21/06/2020,0
22/06/2020,3
23/06/2020,0
24/06/2020,0
25/06/2020,0
26/06/2020,0
27/06/2020,0
28/06/2020,2
29/06/2020,1
30/06/2020,0
31/06/2020,0
1/07/2020,0
2/07/2020,0
3/07/2020,0
4/07/2020,0
5/07/2020,0
6/07/2020,0
7/07/2020,0
8/07/2020,0
9/07/2020,16
10/07/2020,0
11/07/2020,2
12/07/2020,0
13/07/2020,3
14/07/2020,0
15/07/2020,0
16/07/2020,0
17/07/2020,0
18/07/2020,0
19/07/2020,0
20/07/2020,0
21/07/2020,0
22/07/2020,0
23/07/2020,0
24/07/2020,9
25/07/2020,4
26/07/2020,30
27/07/2020,2
28/07/2020,0
29/07/2020,0
30/07/2020,0
31/07/2020,5
1/08/2020,0
2/08/2020,0
3/08/2020,0
4/08/2020,0
5/08/2020,0
6/08/2020,0
7/08/2020,0
8/08/2020,7
9/08/2020,0
10/08/2020,0
11/08/2020,0
12/08/2020,0
13/08/2020,0
14/08/2020,0
15/08/2020,0
16/08/2020,2
17/08/2020,0
18/08/2020,0
19/08/2020,0
20/08/2020,0
21/08/2020,0
22/08/2020,0
23/08/2020,0
24/08/2020,0
25/08/2020,0
26/08/2020,0
27/08/2020,0
28/08/2020,0
29/08/2020,0
30/08/2020,0
31/08/2020,0
1/09/2020,0
2/09/2020,0
3/09/2020,0
4/09/2020,0
5/09/2020,0
6/09/2020,0
7/09/2020,13
8/09/2020,0
9/09/2020,0
10/09/2020,0
11/09/2020,2
12/09/2020,0
13/09/2020,0
14/09/2020,0
15/09/2020,0
16/09/2020,0
17/09/2020,0
18/09/2020,0
19/09/2020,3
20/09/2020,0
21/09/2020,0
22/09/2020,0
23/09/2020,0
